322375	322374
356223	355829
294456	294454
294458	294454
294459	294454
359778	359777
293786	293785
317802	317801
317803	317801
317804	317801
317806	317801
317807	317801
317809	317801
339803	340391
329997	330622
330625	330622
330626	330622
364312	365269
364320	365269
364723	365269
364727	365269
364728	365269
364933	365269
365113	365269
365532	365269
365764	365269
299460	305068
314064	314063
299538	302999
305743	302999
306628	302999
307368	302999
307448	302999
307469	302999
308135	302999
308403	302999
309949	302999
299056	303307
299226	303307
301516	303307
303926	303307
372929	372928
372931	372928
372932	372928
372933	372928
372934	372928
372935	372928
372936	372928
372937	372928
372938	372928
372940	372928
372942	372928
328325	328324
373264	373270
373271	373270
371147	371146
311567	311563
311568	311563
337317	342753
337318	342753
341570	342753
289299	289298
289300	289298
289301	289298
289307	289298
289308	289298
289309	289298
289312	289298
289313	289298
289317	289298
289342	289298
369493	369528
369529	369528
376497	376498
376499	376498
377386	376498
357836	357835
357837	357835
311401	311400
311402	311400
311403	311400
323489	323655
323656	323655
356683	356877
357083	356877
380396	380393
380451	380393
317254	317253
317327	317253
317328	317253
317331	317253
363794	363796
363795	363796
364188	363796
300316	299919
301513	300679
304736	300679
306962	300679
310530	300679
310873	310872
310874	310872
310875	310872
310876	310872
310877	310872
367473	367474
327228	327227
327229	327227
327240	327227
327246	327227
327256	327227
327501	327227
359899	359887
359900	359887
359906	359887
338396	339111
339870	339111
340691	339111
343174	339111
351297	351296
351298	351296
351299	351296
351300	351296
351301	351296
351302	351296
351303	351296
351304	351296
351305	351296
351306	351296
351307	351296
299569	308006
309467	308006
375867	375866
375868	375866
365434	363763
365436	363763
320899	320898
320901	320898
320904	320898
320905	320898
320906	320898
326255	326254
362468	362473
337630	342868
337724	342868
338179	342868
338349	342868
338695	342868
338774	342868
338873	342868
339075	342868
339406	342868
339583	342868
340029	342868
340580	342868
340715	342868
340827	342868
341511	342868
341771	342868
341891	342868
342077	342868
342078	342868
342154	342868
342870	342868
323757	323756
323758	323756
323759	323756
323761	323756
323762	323756
323763	323756
323764	323756
323765	323756
348962	348961
348963	348961
358066	358065
303395	308044
337415	336526
337416	336526
337610	336526
337682	336526
338312	336526
339024	336526
340539	336526
340598	336526
340643	336526
340698	336526
341599	336526
341930	336526
342777	336526
312432	312431
312433	312431
315661	315660
378989	379003
297142	297140
297143	297140
297145	297140
297147	297140
297150	297140
297151	297140
285780	285779
285781	285779
285784	285779
372672	372671
372673	372671
372675	372671
372676	372671
372678	372671
372679	372671
372680	372671
372699	372671
372703	372671
372705	372671
372719	372671
372764	372671
372766	372671
372767	372671
372769	372671
372807	372671
300054	309165
300702	309165
302916	309165
307252	309165
296231	291868
361490	361489
361491	361489
375918	379538
378856	379538
378876	379538
379539	379538
379543	379538
311673	311672
311676	311672
311677	311672
311678	311672
299107	302023
299384	302023
299392	302023
299877	302023
300281	302023
300350	302023
300969	302023
301168	302023
301370	302023
302077	302023
302664	302023
302991	302023
303152	302023
303206	302023
303456	302023
303462	302023
